iso3c,pais,region,grupo_ingreso,alfabetismo,crec_poblacion,electricidad,esperanza_vida,fecundidad,mortalidad_5,pib_pc_ppa,pib_pc_usd,pib_usd,pob_65mas,poblacion,pobreza_3usd,pobreza_4_2usd,pobreza_8_3usd,urbana,pobreza_mpi,gini,anio_alfabetismo,anio_crec_poblacion,anio_electricidad,anio_esperanza_vida,anio_fecundidad,anio_mortalidad_5,anio_pib_pc_ppa,anio_pib_pc_usd,anio_pib_usd,anio_pob_65mas,anio_poblacion,anio_pobreza_3usd,anio_pobreza_4_2usd,anio_pobreza_8_3usd,anio_urbana,anio_pobreza_mpi,anio_gini,categoria_idh,ranking_idh,idh,idh_ajustado_des,indice_genero_gii,anios_escol_esp,anios_escol_prom,ingreso_nacional_pc,poblacion_mill,pib_mmill_usd,log_pib_pc_ppa,pobres_3usd_mill
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Bajo,37.2700004577637,2.76719430653303,87.8,66.289,4.761,53,1964.45228895456,416.871146273728,17778508875.7396,2.42557886023075,43844111,NA,NA,NA,25.9401644699898,64.9,NA,2021,2025,2024,2024,2024,2024,2024,2024,2024,2025,2025,NA,NA,NA,2025,2022,NA,Bajo,181,0.496,0.321,0.661,10.79014324,2.514790058,1971.549458,43.844111,17.7785088757396,3.2932414854790126,NA
ALB,Albania,Europe & Central Asia,Medio-alto,97.6800003051758,-1.16564475393365,100,79.776,1.341,9.2,22724.2938194949,12998.147869552,30540188271.3421,17.6221063807332,2349580,0.3,2.1,19.9,58.871474331067,0.7,29.4,2023,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2020,2020,2020,2025,2017,2020,Muy alto,71,0.81,0.705,0.107,14.51014996,10.17531099,17627.39404,2.34958,30.5401882713421,4.356490395961688,0.00704874
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Medio-alto,NA,1.31780475504384,100,76.475,2.723,21.6,15882.7138836328,6051.00322704182,287031225987.736,6.80593085174533,47435312,0,4.7,41.8,75.8187358069877,1.4,27.6,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2011,2011,2011,2025,2018,2011,Alto,96,0.763,0.601,0.443,15.4951601,7.416386987,15114.17175,47.435312,287.03122598773604,4.2009247124477875,0
AND,Andorra,Europe & Central Asia,Alto,NA,1.17204481645642,100,84.188,1.087,2.5,67993.0524178882,54291.5026031052,4500982731.80784,16.5624302661496,82904,NA,NA,NA,88.9492672283129,NA,NA,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,NA,NA,NA,2025,NA,NA,Muy alto,32,0.913,0.837,NA,14.54279041,11.60999966,64631.0749,0.082904,4.500982731807841,4.8324645384308935,NA
AGO,Angola,Sub-Saharan Africa,Medio-bajo,68.1800003051758,3.00100954627922,55.5,64.805,5.048,49,8760.19081963151,3129.47662331063,122174889423.635,2.89492414306917,39040039,39.3,53.7,80,71.4615915176085,51.1,51.3,2023,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2018,2018,2018,2025,2015,2018,Medio,148,0.616,0.36,0.515,12.1676,5.956173009,6631.276544,39.040039,122.174889423635,3.942513566329087,15.342735326999998
ATG,Antigua and Barbuda,Latin America & Caribbean,Alto,NA,0.464941443253073,100,77.766,1.582,9.1,30620.3075553859,24819.2454680158,2338196296.2963,12.3369971923977,94209,NA,NA,NA,24.3334834700661,NA,NA,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,NA,NA,NA,2025,NA,NA,Muy alto,53,0.851,NA,0.24,15.50299899,11.64750004,27386.51793,0.094209,2.3381962962963,4.48600954850908,NA
ARG,Argentina,Latin America & Caribbean,Medio-alto,99.1399993896484,0.339100654860035,98.4,77.543,1.504,9.5,27846.5984597239,14898.0885943842,683097891618.597,12.634433938217,45851378,1,2.8,15.2,92.3519221615173,0.4,42.4,2020,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2024,2024,2024,2025,2019,2024,Muy alto,47,0.865,0.761,0.264,18.83120918,11.18458184,25876.05307,45.851378,683.097891618597,4.444772152457879,0.45851378
ARM,Armenia,Europe & Central Asia,Medio-alto,99.8399963378906,1.73854906675217,100,78.319512195122,1.7,9.6,21153.478328571,9474.01849300368,29243452882.3545,14.4428643549941,3086700,0.8,5.7,47.4,65.9287015589872,0.2,27.4,2023,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2024,2024,2024,2025,2015,2024,Muy alto,69,0.811,0.743,0.18,14.3838501,11.34497821,20220.72319,3.0867,29.2434528823545,4.32538178990019,0.0246936
AUS,Australia,East Asia & Pacific,Alto,NA,1.53308964338105,100,83.0512195121951,1.481,3.6,60194.0633547961,65129.7227990563,1798518933689.21,18.0930147394386,27614411,0.9,1.1,1.5,87.7192672666333,NA,33.8,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2020,2020,2020,2025,NA,2020,Muy alto,7,0.958,0.873,0.056,20.65477943,12.86999989,58276.87643,27.614411,1798.51893368921,4.779553661035415,0.24852969900000002
AUT,Austria,Europe & Central Asia,Alto,NA,0.328301850203979,100,81.9951219512195,1.31,3.3,63970.4008534859,62930.0351324599,579470021095.418,21.094709934873,9208163,0.5,0.6,1,69.7152152366353,NA,31.2,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2023,2023,2023,2025,NA,2023,Muy alto,22,0.93,0.861,0.033,16.28428078,12.36146506,63479.20843,9.208163,579.470021095418,4.805979072116837,0.046040815000000006
