pais,pib_pc_ppa,idh,rank_pib,rank_idh,brecha_rank
Tonga,7412.86641968829,0.769,133,90,43
Kiribati,3363.99521326766,0.644,163,135,28
Marshall Islands,7660.37695591168,0.733,132,106,26
Tajikistan,5061.84700623649,0.691,148,124,24
Solomon Islands,2382.1314520674,0.584,174,151,23
"Iran, Islamic Rep.",16833.7821677117,0.799,95,73,22
Argentina,27846.5984597239,0.865,66,45,21
Lebanon,10469.2210966932,0.752,120,99,21
Peru,16079.1247394843,0.794,98,77,21
New Zealand,48232.6651994696,0.938,37,16.5,20.5
Jordan,10794.2402687732,0.754,117,97.5,19.5
Timor-Leste,4109.9044785289,0.634,155,137,18
Ecuador,14319.2406558299,0.777,103,86,17
Tuvalu,5776.07849384845,0.689,142,125,17
Montenegro,28895.3171970071,0.862,63,46.5,16.5
United Kingdom,53993.1172607885,0.946,29,12.5,16.5
Australia,60194.0633547961,0.958,23,7,16
Chile,30863.4223155169,0.878,59,43,16
Greece,38218.721628616,0.908,48,32,16
Kyrgyz Republic,7878.4491366966,0.72,131,115,16
Vanuatu,3866.99814901674,0.621,157,141,16
Germany,62823.7736648822,0.959,21,5.5,15.5
Uganda,2980.37942135501,0.582,168,152.5,15.5
"Congo, Dem. Rep.",1640.56621824278,0.522,180,166,14
Finland,55735.2174921326,0.948,25,11,14
Japan,48283.3723959465,0.925,35,21,14
Malawi,1623.02178529282,0.517,181,167,14
Slovenia,49091.0184405902,0.931,33,19,14
Sri Lanka,14582.7603740374,0.776,102,88,14
Sweden,63362.4612808079,0.959,19,5.5,13.5
Comoros,3621.76626304343,0.603,160,147,13
Georgia,25135.7822457412,0.844,68,55,13
Iceland,68064.6854551866,0.972,14,1,13
Israel,48196.6345176562,0.919,38,25,13
Armenia,21153.478328571,0.811,80,67.5,12.5
"Micronesia, Fed. Sts.",3934.6426835411,0.615,156,144,12
Ukraine,16155.0732421875,0.779,97,85,12
Grenada,18240.9934237926,0.791,89,78,11
Nicaragua,7933.48888006412,0.706,130,119,11
Samoa,7963.42749052153,0.708,129,118,11
