"","poblacion","pib_pc_ppa","pobreza_3usd","gini","idh","esperanza_vida","fecundidad","urbana","mortalidad_5","anios_escol_prom","indice_genero_gii"
"poblacion",1,-0.13,0.11,0.07,-0.14,-0.08,0.13,0,0.15,-0.18,0.17
"pib_pc_ppa",-0.13,1,-0.83,-0.34,0.96,0.87,-0.82,0.65,-0.86,0.82,-0.89
"pobreza_3usd",0.11,-0.83,1,0.53,-0.83,-0.8,0.79,-0.54,0.8,-0.71,0.81
"gini",0.07,-0.34,0.53,1,-0.36,-0.36,0.33,-0.09,0.4,-0.35,0.41
"idh",-0.14,0.96,-0.83,-0.36,1,0.91,-0.84,0.63,-0.91,0.9,-0.93
"esperanza_vida",-0.08,0.87,-0.8,-0.36,0.91,1,-0.82,0.61,-0.91,0.74,-0.89
"fecundidad",0.13,-0.82,0.79,0.33,-0.84,-0.82,1,-0.51,0.84,-0.72,0.86
"urbana",0,0.65,-0.54,-0.09,0.63,0.61,-0.51,1,-0.61,0.53,-0.59
"mortalidad_5",0.15,-0.86,0.8,0.4,-0.91,-0.91,0.84,-0.61,1,-0.81,0.92
"anios_escol_prom",-0.18,0.82,-0.71,-0.35,0.9,0.74,-0.72,0.53,-0.81,1,-0.85
"indice_genero_gii",0.17,-0.89,0.81,0.41,-0.93,-0.89,0.86,-0.59,0.92,-0.85,1
