iso3c,pais,grupo,riqueza,anio_pib_pc_ppa,idh,esperanza_vida,mortalidad_5,fecundidad
SGP,Singapore,Más ricos,139592.612210761,2025,0.946,83.3463414634146,2.7,0.97
IRL,Ireland,Más ricos,131338.444745041,2025,0.949,83.009756097561,3.9,1.47
LUX,Luxembourg,Más ricos,127420.601625165,2025,0.922,83.1951219512195,2.2,1.25
QAT,Qatar,Más ricos,110135.696297692,2025,0.886,82.522,5.9,1.717
NOR,Norway,Más ricos,95173.4308224367,2025,0.97,83.1609756097561,2.5,1.45
MWI,Malawi,Más pobres,1623.02178529282,2025,0.517,67.561,48.8,3.59
MOZ,Mozambique,Más pobres,1450.95955248858,2025,0.493,63.797,59.4,4.69
SOM,"Somalia, Fed. Rep.",Más pobres,1403.81389064466,2025,0.404,58.967,101.1,6.013
CAF,Central African Republic,Más pobres,1122.76083348097,2025,0.414,57.671,89.7,5.954
BDI,Burundi,Más pobres,1066.51299240586,2025,0.439,63.818,47.1,4.789
