iso_code,country,co2_acum_fosil_mt,co2_acum_total_mt,pct_calentamiento,aporte_temp_c,co2_pc_actual_t,poblacion,co2_acum_pc_t,continente,region,pais_es
ABW,Aruba,75.769,NA,0.002,0,8.518,108076,NA,Americas,Latin America & Caribbean,Aruba
AFG,Afghanistan,242.635,611.708,0.08,0.001,0.254,42647502,14.343348878909719,Asia,"Middle East, North Africa, Afghanistan & Pakistan",Afganistán
AGO,Angola,739.588,5374.209,0.339,0.006,0.589,37885854,141.8526556112474,Africa,Sub-Saharan Africa,Angola
AIA,Anguilla,3.588,NA,0,0,10.127,14623,NA,Americas,Latin America & Caribbean,Anguila
ALB,Albania,307.938,548.292,0.026,0,1.592,2791756,196.396819779379,Europe,Europe & Central Asia,Albania
AND,Andorra,16.655,17.131,0.001,0,5.182,81955,209.02934537246048,Europe,Europe & Central Asia,Andorra
ARE,United Arab Emirates,5824.24,5825.851,0.24,0.004,20.131,11027135,528.3195499102894,Asia,"Middle East, North Africa, Afghanistan & Pakistan",Emiratos Árabes Unidos
ARG,Argentina,9151.537,23021.918,0.96,0.016,3.743,45696153,503.80429179672956,Americas,Latin America & Caribbean,Argentina
ARM,Armenia,406.69,512.609,0.02,0,2.499,2973843,172.37258321975978,Asia,Europe & Central Asia,Armenia
ATA,Antarctica,0.154,NA,0,0,NA,NA,NA,Antarctica,NA,Antártida
ATG,Antigua and Barbuda,26.92,17.829,0.001,0,7.092,93782,190.11110874154954,Americas,Latin America & Caribbean,Antigua y Barbuda
AUS,Australia,20039.67,34012.734,1.514,0.025,14.477,26713206,1273.2554078308683,Oceania,East Asia & Pacific,Australia
AUT,Austria,5749.663,5969.547,0.192,0.003,6.18,9120815,654.4971036031319,Europe,Europe & Central Asia,Austria
AZE,Azerbaijan,2637.138,3227.686,0.12,0.002,3.853,10336577,312.25869066713284,Asia,Europe & Central Asia,Azerbaiyán
BDI,Burundi,16.688,327.33,0.022,0,0.065,14047788,23.301177381093733,Africa,Sub-Saharan Africa,Burundi
BEL,Belgium,12906.185,13181.008,0.405,0.007,7.28,11738761,1122.861944288669,Europe,Europe & Central Asia,Bélgica
BEN,Benin,128.382,1744.437,0.048,0.001,0.419,14462721,120.61609983349607,Africa,Sub-Saharan Africa,Benín
BES,Bonaire Sint Eustatius and Saba,10.627,NA,0,0,4.947,30699,NA,Americas,Latin America & Caribbean,Caribe neerlandés
BFA,Burkina Faso,95.79,1352.617,0.092,0.002,0.276,23548782,57.43893675689893,Africa,Sub-Saharan Africa,Burkina Faso
BGD,Bangladesh,2000.965,3716.556,0.378,0.006,0.624,173562366,21.413374832652373,Asia,South Asia,Bangladés
BGR,Bulgaria,3984.196,4990.108,0.163,0.003,4.679,6757686,738.4344285899049,Europe,Europe & Central Asia,Bulgaria
BHR,Bahrain,1112.192,1112.201,0.088,0.001,24.27,1607059,692.072288571857,Asia,"Middle East, North Africa, Afghanistan & Pakistan",Baréin
BHS,Bahamas,180.56,182.773,0.006,0,7.65,401282,455.4727099645636,Americas,Latin America & Caribbean,Bahamas
BIH,Bosnia and Herzegovina,1043.488,1271.659,0.057,0.001,6.139,3164256,401.88246462991617,Europe,Europe & Central Asia,Bosnia y Herzegovina
BLR,Belarus,5184.231,10072.118,0.338,0.006,6.163,9056696,1112.1183707612577,Europe,Europe & Central Asia,Bielorrusia
BLZ,Belize,22.518,375.246,0.013,0,1.909,417077,899.7043711353059,Americas,Latin America & Caribbean,Belice
BMU,Bermuda,31.025,NA,0.001,0,8.506,64660,NA,Americas,North America,Bermudas
BOL,Bolivia,641.184,7595.995,0.278,0.005,2.313,12413318,611.923016875907,Americas,Latin America & Caribbean,Bolivia
BRA,Brazil,18198.707,139444.312,5.251,0.088,2.278,211998565,657.76064097415,Americas,Latin America & Caribbean,Brasil
BRB,Barbados,63.875,64.108,0.002,0,4.833,282476,226.9502541808862,Americas,Latin America & Caribbean,Barbados
BRN,Brunei,427.762,515.56,0.022,0,26.046,462734,1114.1606192758688,Asia,East Asia & Pacific,Brunéi
BTN,Bhutan,29.797,697.167,0.03,0,2.094,791530,880.7840511414602,Asia,South Asia,Bután
BWA,Botswana,184.336,295.974,0.039,0.001,2.96,2521145,117.39665905769006,Africa,Sub-Saharan Africa,Botsuana
CAF,Central African Republic,12.341,755.866,0.076,0.001,0.074,5330691,141.79512562255061,Africa,Sub-Saharan Africa,República Centroafricana
CAN,Canada,35644.129,76041.891,2.271,0.038,13.42,39742429,1913.3679775838564,Americas,North America,Canadá
CHE,Switzerland,3158.062,3413.798,0.113,0.002,3.595,8921979,382.6278900678874,Europe,Europe & Central Asia,Suiza
CHL,Chile,3324.852,7816.921,0.249,0.004,3.983,19764774,395.49761611238256,Americas,Latin America & Caribbean,Chile
CHN,China,285087.031,359646.906,12.951,0.217,8.658,1419321284,253.3935832952675,Asia,East Asia & Pacific,China
CIV,Cote d'Ivoire,400.111,10430.467,0.269,0.005,0.464,31934229,326.6234171490409,Africa,Sub-Saharan Africa,Côte d’Ivoire
CMR,Cameroon,309.245,2925.905,0.18,0.003,0.331,29123748,100.46457619397064,Africa,Sub-Saharan Africa,Camerún
COD,Democratic Republic of Congo,238.7,26035.693,0.794,0.013,0.054,109276264,238.25570208000522,Africa,Sub-Saharan Africa,República Democrática del Congo
COG,Congo,191.077,1881.965,0.122,0.002,1.396,6332969,297.16946348545207,Africa,Sub-Saharan Africa,Congo
COK,Cook Islands,2.685,2.685,0,0,5.824,13750,195.27272727272728,Oceania,East Asia & Pacific,Islas Cook
