iso_code,country,co2_acum_fosil_mt,co2_acum_total_mt,pct_calentamiento,aporte_temp_c,co2_pc_actual_t,poblacion,co2_acum_pc_t,continente,region,pais_es,vulnerabilidad,preparacion,cuadrante
AFG,Afghanistan,242.635,611.708,0.08,0.001,0.254,42647502,14.343348878909719,Asia,"Middle East, North Africa, Afghanistan & Pakistan",Afganistán,0.611631396660846,0.272113924696938,"Baja responsabilidad, alta vulnerabilidad"
AGO,Angola,739.588,5374.209,0.339,0.006,0.589,37885854,141.8526556112474,Africa,Sub-Saharan Africa,Angola,0.527907173262356,0.256846722549453,"Baja responsabilidad, alta vulnerabilidad"
ALB,Albania,307.938,548.292,0.026,0,1.592,2791756,196.396819779379,Europe,Europe & Central Asia,Albania,0.416322992249691,0.467979768681771,"Baja responsabilidad, baja vulnerabilidad"
AND,Andorra,16.655,17.131,0.001,0,5.182,81955,209.02934537246048,Europe,Europe & Central Asia,Andorra,0.350781221558211,0.611141214267337,"Baja responsabilidad, baja vulnerabilidad"
ARE,United Arab Emirates,5824.24,5825.851,0.24,0.004,20.131,11027135,528.3195499102894,Asia,"Middle East, North Africa, Afghanistan & Pakistan",Emiratos Árabes Unidos,0.416309791298487,0.490174111754568,"Alta responsabilidad, baja vulnerabilidad"
ARG,Argentina,9151.537,23021.918,0.96,0.016,3.743,45696153,503.80429179672956,Americas,Latin America & Caribbean,Argentina,0.407881465765316,0.415404726658145,"Alta responsabilidad, baja vulnerabilidad"
ARM,Armenia,406.69,512.609,0.02,0,2.499,2973843,172.37258321975978,Asia,Europe & Central Asia,Armenia,0.393642365399574,0.456887905654006,"Baja responsabilidad, baja vulnerabilidad"
ATG,Antigua and Barbuda,26.92,17.829,0.001,0,7.092,93782,190.11110874154954,Americas,Latin America & Caribbean,Antigua y Barbuda,0.484818895524531,0.440739980028339,"Baja responsabilidad, alta vulnerabilidad"
AUS,Australia,20039.67,34012.734,1.514,0.025,14.477,26713206,1273.2554078308683,Oceania,East Asia & Pacific,Australia,0.300140571857323,0.65848946413032206,"Alta responsabilidad, baja vulnerabilidad"
AUT,Austria,5749.663,5969.547,0.192,0.003,6.18,9120815,654.4971036031319,Europe,Europe & Central Asia,Austria,0.32277793492033,0.678724107223777,"Alta responsabilidad, baja vulnerabilidad"
AZE,Azerbaijan,2637.138,3227.686,0.12,0.002,3.853,10336577,312.25869066713284,Asia,Europe & Central Asia,Azerbaiyán,0.427502121495016,0.430258329330067,"Alta responsabilidad, baja vulnerabilidad"
BDI,Burundi,16.688,327.33,0.022,0,0.065,14047788,23.301177381093733,Africa,Sub-Saharan Africa,Burundi,0.610409619844343,0.249668188199824,"Baja responsabilidad, alta vulnerabilidad"
BEL,Belgium,12906.185,13181.008,0.405,0.007,7.28,11738761,1122.861944288669,Europe,Europe & Central Asia,Bélgica,0.365557735107329,0.604891139107138,"Alta responsabilidad, baja vulnerabilidad"
BEN,Benin,128.382,1744.437,0.048,0.001,0.419,14462721,120.61609983349607,Africa,Sub-Saharan Africa,Benín,0.583662682479402,0.372152215670063,"Baja responsabilidad, alta vulnerabilidad"
BFA,Burkina Faso,95.79,1352.617,0.092,0.002,0.276,23548782,57.43893675689893,Africa,Sub-Saharan Africa,Burkina Faso,0.522513365133152,0.270204079376687,"Baja responsabilidad, alta vulnerabilidad"
BGD,Bangladesh,2000.965,3716.556,0.378,0.006,0.624,173562366,21.413374832652373,Asia,South Asia,Bangladés,0.543533510007927,0.284277313801118,"Baja responsabilidad, alta vulnerabilidad"
BGR,Bulgaria,3984.196,4990.108,0.163,0.003,4.679,6757686,738.4344285899049,Europe,Europe & Central Asia,Bulgaria,0.361049975261115,0.486145386534726,"Alta responsabilidad, baja vulnerabilidad"
BHR,Bahrain,1112.192,1112.201,0.088,0.001,24.27,1607059,692.072288571857,Asia,"Middle East, North Africa, Afghanistan & Pakistan",Baréin,0.498974724042067,0.46553735656046,"Alta responsabilidad, alta vulnerabilidad"
