iso3c,pais,tipologia,PC1,PC2
AFG,Afghanistan,1 (menor desarrollo),-3.7248497360452917,-0.3913875951288114
ALB,Albania,3,1.2234047939771997,-0.6107720323938695
DZA,Algeria,3,0.20970536358695072,0.6709065305392828
AND,Andorra,4 (mayor desarrollo),3.234756589698562,0.24678980611070178
AGO,Angola,1 (menor desarrollo),-2.3008257393642553,1.5303769302233385
ATG,Antigua and Barbuda,3,0.7531906271841562,-1.9966270106350021
ARG,Argentina,4 (mayor desarrollo),1.7510761813801665,0.860387023303595
ARM,Armenia,3,1.0799964264154973,-0.1851767795506932
AUS,Australia,4 (mayor desarrollo),2.962651537938653,0.3410318704887687
AUT,Austria,4 (mayor desarrollo),2.666249948211729,-0.4346131688416738
AZE,Azerbaijan,3,0.5490717687976946,-0.38288590782510273
BHS,"Bahamas, The",3,1.3237743050126698,0.4836917919366805
BHR,Bahrain,4 (mayor desarrollo),2.416719355467089,1.132452837669158
BGD,Bangladesh,2,-0.903207286306215,-1.1376761362803998
BRB,Barbados,3,0.87541581746501,-0.4009941533629652
BLR,Belarus,4 (mayor desarrollo),1.9243939127292597,0.14828035038670817
BEL,Belgium,4 (mayor desarrollo),2.9189092484858343,0.3523726821128657
BLZ,Belize,3,-0.22072493404561971,-0.9347658722576516
BEN,Benin,1 (menor desarrollo),-3.35281888681981,0.8365574985465485
BTN,Bhutan,3,-0.11864927018140188,-0.9373480987233149
BOL,Bolivia,2,-0.35155066725514206,0.5898123403255812
BIH,Bosnia and Herzegovina,3,1.0474125335278603,-0.8304408700891148
BWA,Botswana,2,-0.5538627264869482,0.5660962276598299
BRA,Brazil,3,1.049155119099717,0.8517480537258647
BRN,Brunei Darussalam,4 (mayor desarrollo),1.5888029433276942,0.23729828549733695
BGR,Bulgaria,4 (mayor desarrollo),1.5356233843881686,0.1255468782204192
BFA,Burkina Faso,1 (menor desarrollo),-3.9021446969668174,-0.25444174264165154
BDI,Burundi,1 (menor desarrollo),-4.235707215498685,-0.31373707666203277
CPV,Cabo Verde,3,0.4450064859774658,0.42469933105230173
KHM,Cambodia,2,-1.2705137259305417,-0.6304766794849966
CMR,Cameroon,1 (menor desarrollo),-2.7265515054565768,0.7473925549806292
CAN,Canada,4 (mayor desarrollo),2.6830360590964393,0.1658473208488271
CAF,Central African Republic,1 (menor desarrollo),-5.021062598995644,1.0092068042723743
TCD,Chad,1 (menor desarrollo),-5.1712306495538805,0.36168226340337895
CHL,Chile,4 (mayor desarrollo),2.261807551557946,0.4980506536830097
CHN,China,3,1.5212962223389215,-0.3966684412521815
COL,Colombia,3,1.0829074365145144,0.3901910539393553
COM,Comoros,1 (menor desarrollo),-2.589112556370552,-0.41965551911909604
COG,"Congo, Rep.",2,-1.9689216675886554,0.9138312412001683
CRI,Costa Rica,4 (mayor desarrollo),1.7132848903126299,0.23715155538592297
CIV,Cote d'Ivoire,1 (menor desarrollo),-2.7300208036864815,0.7308910741680745
HRV,Croatia,4 (mayor desarrollo),1.792370472113933,-0.7318112011086463
CYP,Cyprus,4 (mayor desarrollo),2.3132999308625095,-0.4722901625673971
CZE,Czechia,4 (mayor desarrollo),2.5267541190049823,-0.26400891034331353
COD,"Congo, Dem. Rep.",1 (menor desarrollo),-4.297546745099568,0.8723025754342018
DNK,Denmark,4 (mayor desarrollo),2.975901773964431,0.41226367100509514
DJI,Djibouti,2,-1.7646530541144454,1.0221951284471074
DMA,Dominica,3,0.1556445073599413,0.4611776475927406
DOM,Dominican Republic,3,0.23490679830829786,0.49558041267633396
ECU,Ecuador,3,0.602063911382724,-0.18372123413874128
EGY,"Egypt, Arab Rep.",2,-0.5665453049028231,-0.6057842295469285
SLV,El Salvador,3,0.21874960403780672,0.46292929420908246
GNQ,Equatorial Guinea,2,-1.8326471906831387,1.3237605348659052
EST,Estonia,4 (mayor desarrollo),2.523772099272732,-0.4119475940421447
SWZ,Eswatini,2,-1.8767016783742902,-0.9928803108041877
ETH,Ethiopia,1 (menor desarrollo),-3.149891812558004,-0.7406803545443882
FJI,Fiji,2,-0.6789433402406212,0.12742198992387965
FIN,Finland,4 (mayor desarrollo),2.9034103033503107,-0.305823119043267
FRA,France,4 (mayor desarrollo),2.571338966085768,0.0484360711505982
GAB,Gabon,2,-0.5012217110750861,1.8196477307088799
GMB,"Gambia, The",1 (menor desarrollo),-2.5362193231968915,0.9957417215219064
GEO,Georgia,3,0.9612200259078023,-0.31828617029369155
DEU,Germany,4 (mayor desarrollo),2.7934740137332295,0.1265461100963266
GHA,Ghana,2,-1.774461222539784,0.5086481035545586
GRC,Greece,4 (mayor desarrollo),2.5074393891704254,-0.007400561751263773
GRD,Grenada,3,0.18955677353776293,-1.3151351284559134
GTM,Guatemala,2,-0.5082287346683108,-0.12383412886152845
GIN,Guinea,1 (menor desarrollo),-3.5752421665983167,0.16047091207039998
GNB,Guinea-Bissau,1 (menor desarrollo),-3.1176137658849186,0.2926616231048933
GUY,Guyana,3,-0.17709209739470239,-1.3714005555998179
HTI,Haiti,2,-2.3649687640757113,0.3129536542164985
HND,Honduras,2,-0.6826491938377001,0.01936189526888487
HUN,Hungary,4 (mayor desarrollo),1.9449201828971419,-0.19541437972844916
ISL,Iceland,4 (mayor desarrollo),3.2025330624120634,0.5964532929150153
IND,India,2,-0.8630743319478443,-1.0400911907603243
IDN,Indonesia,3,-0.18545232280187152,-0.06683731118443116
IRN,"Iran, Islamic Rep.",3,1.040778953263713,0.33694611125572377
IRQ,Iraq,2,-0.5873733346075507,0.6818012540839695
IRL,Ireland,4 (mayor desarrollo),2.8577069235674935,-0.6324573251833314
ISR,Israel,4 (mayor desarrollo),2.4040854605370696,0.8635511667621779
ITA,Italy,4 (mayor desarrollo),2.794726910118563,-0.5263313253525639
JAM,Jamaica,3,-0.04444313655457059,-0.2537775055761918
JPN,Japan,4 (mayor desarrollo),3.1777225851366353,0.39925887458932285
JOR,Jordan,3,0.6255475365549785,1.2846452991394814
KAZ,Kazakhstan,3,0.6768292781259765,0.0415781002019739
KEN,Kenya,2,-2.3255605328303766,-0.6102924072372159
KIR,Kiribati,2,-1.9793098553393795,0.6760063597935478
KWT,Kuwait,4 (mayor desarrollo),2.496065832399512,1.0235823697545627
KGZ,Kyrgyz Republic,2,-0.8856061315235333,-1.003899438375099
LAO,Lao PDR,2,-1.405939110254032,-0.6136435523762407
LVA,Latvia,4 (mayor desarrollo),2.140705138857801,-0.3821266648675665
LBN,Lebanon,3,0.576527776613297,1.1395929063333876
LSO,Lesotho,1 (menor desarrollo),-3.0338288191839875,0.038759539405804955
LBR,Liberia,1 (menor desarrollo),-3.429633531515029,0.8027800750285409
LBY,Libya,3,0.3474182104264928,1.1129921287379034
LTU,Lithuania,4 (mayor desarrollo),2.219475212724909,-0.3778586167369353
LUX,Luxembourg,4 (mayor desarrollo),3.5185388898326067,0.5283814766867587
MDG,Madagascar,1 (menor desarrollo),-3.6402811166568885,-0.22657088261379651
MWI,Malawi,1 (menor desarrollo),-3.3596730435699076,-1.0856811596360183
MYS,Malaysia,3,1.4828849582448855,0.26081800985046993
MDV,Maldives,3,1.106941304880415,-1.3255847852879308
MLI,Mali,1 (menor desarrollo),-4.413763207021404,0.2673219533649446
MLT,Malta,4 (mayor desarrollo),2.9988384815131366,0.6337434228078879
MHL,Marshall Islands,2,-0.7964655052167093,1.1061802138053203
MRT,Mauritania,1 (menor desarrollo),-2.225200224032392,0.9169968744137867
MUS,Mauritius,3,0.4149991336079376,-1.2254291831958666
MEX,Mexico,3,0.866224129627424,0.5801183815709942
FSM,"Micronesia, Fed. Sts.",2,-2.0963614696199984,-1.263850445471309
MDA,Moldova,3,-0.04149447971163713,-0.8727536249108728
MNG,Mongolia,3,0.1516563982900344,0.4503929695677397
MNE,Montenegro,4 (mayor desarrollo),1.8252199161893707,-0.3863589911513758
MAR,Morocco,3,-0.08770521355098897,0.02425800887926214
MOZ,Mozambique,1 (menor desarrollo),-3.8522591322950994,0.14230154052544006
MMR,Myanmar,2,-1.8933691758132996,-1.0100965868980385
NAM,Namibia,2,-1.5441207527177983,0.08095732253986884
NRU,Naoero,2,-0.3797103162240488,2.054536257818574
NPL,Nepal,2,-0.9027940590381893,0.35685255256595905
NLD,Netherlands,4 (mayor desarrollo),3.058066226121242,0.7092833059425043
NZL,New Zealand,4 (mayor desarrollo),2.5703097584099117,0.27990851330985345
NIC,Nicaragua,3,-0.1112395769119817,-0.1637667409532627
NER,Niger,1 (menor desarrollo),-5.051684557356617,-0.1648961652668926
NGA,Nigeria,1 (menor desarrollo),-3.331692674523343,1.4108276038486869
MKD,North Macedonia,4 (mayor desarrollo),1.5899703780038357,-0.5219189427108604
NOR,Norway,4 (mayor desarrollo),3.267396460503904,0.09291766441175586
OMN,Oman,4 (mayor desarrollo),1.437141517245318,0.5204740498000486
PAK,Pakistan,1 (menor desarrollo),-2.521667626723298,-0.19055799907393728
PLW,Palau,3,0.26437702840108757,0.7428585262395108
PAN,Panama,3,1.149851766501735,-0.06846122826248544
PNG,Papua New Guinea,1 (menor desarrollo),-2.6591794998786646,-1.342596394300611
PRY,Paraguay,3,0.20226971834592095,0.3842921114753291
PER,Peru,3,0.989706794491579,0.7740555449434937
PHL,Philippines,2,-0.5537523254701294,-0.18199170284798616
POL,Poland,4 (mayor desarrollo),2.0856086460541454,-0.7545702594225108
PRT,Portugal,4 (mayor desarrollo),2.2784485398433136,-0.7391288582466788
QAT,Qatar,4 (mayor desarrollo),2.8426254679871823,1.005531132243645
KOR,"Korea, Rep.",4 (mayor desarrollo),3.151752548211148,-0.15104858830328188
ROU,Romania,3,1.3218864452057884,-0.8701859297845979
RUS,Russian Federation,4 (mayor desarrollo),1.5772543584486063,0.1391051401053679
RWA,Rwanda,1 (menor desarrollo),-2.5821465998274515,-0.6023405800944825
KNA,St. Kitts and Nevis,3,0.3120581493795337,-1.4905570378163868
LCA,St. Lucia,3,-0.043118867476957326,-1.585832047208565
VCT,St. Vincent and the Grenadines,3,0.24741753475831968,-0.7463566407161462
WSM,Samoa,2,-1.5549007175479952,-1.4282735838439558
SMR,San Marino,4 (mayor desarrollo),3.707304192308926,0.487451241670525
STP,Sao Tome and Principe,2,-1.1598857661880635,0.7812727916386187
SAU,Saudi Arabia,4 (mayor desarrollo),2.0451714319420167,0.6086200179038721
SEN,Senegal,1 (menor desarrollo),-2.2311573809890977,0.47925180297782144
SRB,Serbia,3,1.299498143686693,-0.38266339715261166
SYC,Seychelles,3,0.7087370624616078,-0.9445762153635653
SLE,Sierra Leone,1 (menor desarrollo),-3.4572707602308697,0.3653349568014972
SGP,Singapore,4 (mayor desarrollo),3.7199671813913677,0.6826735548750562
SVK,Slovak Republic,3,1.5879414998623684,-0.8923520713731607
SVN,Slovenia,4 (mayor desarrollo),2.458637527819149,-1.013604908193056
SLB,Solomon Islands,2,-2.2556643500452815,-0.7600614256951048
SOM,"Somalia, Fed. Rep.",1 (menor desarrollo),-4.800765512335148,1.4621426572273462
ZAF,South Africa,2,-0.7178009408032671,0.3359833828030574
ESP,Spain,4 (mayor desarrollo),2.887456256372891,-0.06517181900145219
LKA,Sri Lanka,3,0.24010209176096325,-2.0679034771859053
SDN,Sudan,1 (menor desarrollo),-3.446783269789468,-0.12910743919054324
SUR,Suriname,3,0.1375698896209761,0.1636976739361858
SWE,Sweden,4 (mayor desarrollo),3.240900526086628,0.30787909628604493
CHE,Switzerland,4 (mayor desarrollo),3.214000542665966,0.17814746119198938
SYR,Syrian Arab Republic,2,-1.0599428809696598,0.7105392957095039
TJK,Tajikistan,2,-1.6356556518698282,-1.1540133515774322
TZA,Tanzania,1 (menor desarrollo),-2.873902695894037,-0.09800105562340511
THA,Thailand,3,1.1017649182797944,-0.4047474686349433
TLS,Timor-Leste,2,-2.1552875339853874,-0.9493897415060853
TGO,Togo,1 (menor desarrollo),-3.0316334954220836,0.2546884554222004
TON,Tonga,2,-0.8652410741677066,-1.57340823720434
TTO,Trinidad and Tobago,3,0.552902149062436,-0.5420791052340905
TUN,Tunisia,3,0.5511652379895752,0.15875268894196992
