iso3c,pais,resolucion,"Consecuencias humanitarias
de la agresión contra Ucrania","Asentamientos israelíes en el
Territorio Palestino Ocupado","Fin del embargo de EE. UU.
contra Cuba",El Golán sirio ocupado
AFG,Afghanistan,ucrania,Sí,NA,NA,NA
ALB,Albania,ucrania,Sí,NA,NA,NA
DZA,Algeria,ucrania,Abstención,NA,NA,NA
AND,Andorra,ucrania,Sí,NA,NA,NA
AGO,Angola,ucrania,Abstención,NA,NA,NA
ATG,Antigua and Barbuda,ucrania,Sí,NA,NA,NA
ARG,Argentina,ucrania,Sí,NA,NA,NA
ARM,Armenia,ucrania,Abstención,NA,NA,NA
AUS,Australia,ucrania,Sí,NA,NA,NA
AUT,Austria,ucrania,Sí,NA,NA,NA
AZE,Azerbaijan,ucrania,Sí,NA,NA,NA
BHS,"Bahamas, The",ucrania,Sí,NA,NA,NA
BHR,Bahrain,ucrania,Sí,NA,NA,NA
BGD,Bangladesh,ucrania,Sí,NA,NA,NA
BRB,Barbados,ucrania,Sí,NA,NA,NA
BLR,Belarus,ucrania,No,NA,NA,NA
BEL,Belgium,ucrania,Sí,NA,NA,NA
BLZ,Belize,ucrania,Sí,NA,NA,NA
BEN,Benin,ucrania,Sí,NA,NA,NA
BTN,Bhutan,ucrania,Sí,NA,NA,NA
BOL,Bolivia,ucrania,Abstención,NA,NA,NA
BIH,Bosnia and Herzegovina,ucrania,Sí,NA,NA,NA
BWA,Botswana,ucrania,Abstención,NA,NA,NA
BRA,Brazil,ucrania,Sí,NA,NA,NA
BRN,Brunei Darussalam,ucrania,Abstención,NA,NA,NA
BGR,Bulgaria,ucrania,Sí,NA,NA,NA
BFA,Burkina Faso,ucrania,Sí,NA,NA,NA
BDI,Burundi,ucrania,Abstención,NA,NA,NA
CPV,Cabo Verde,ucrania,Sí,NA,NA,NA
KHM,Cambodia,ucrania,Sí,NA,NA,NA
CMR,Cameroon,ucrania,Sí,NA,NA,NA
CAN,Canada,ucrania,Sí,NA,NA,NA
CAF,Central African Republic,ucrania,Abstención,NA,NA,NA
TCD,Chad,ucrania,Sí,NA,NA,NA
CHL,Chile,ucrania,Sí,NA,NA,NA
CHN,China,ucrania,Abstención,NA,NA,NA
COL,Colombia,ucrania,Sí,NA,NA,NA
COM,Comoros,ucrania,Sí,NA,NA,NA
COG,"Congo, Rep.",ucrania,Abstención,NA,NA,NA
CRI,Costa Rica,ucrania,Sí,NA,NA,NA
CIV,Cote d'Ivoire,ucrania,Sí,NA,NA,NA
HRV,Croatia,ucrania,Sí,NA,NA,NA
CUB,Cuba,ucrania,Abstención,NA,NA,NA
CYP,Cyprus,ucrania,Sí,NA,NA,NA
CZE,Czechia,ucrania,Sí,NA,NA,NA
PRK,"Korea, Dem. People's Rep.",ucrania,No,NA,NA,NA
COD,"Congo, Dem. Rep.",ucrania,Sí,NA,NA,NA
DNK,Denmark,ucrania,Sí,NA,NA,NA
DJI,Djibouti,ucrania,Sí,NA,NA,NA
DMA,Dominica,ucrania,Sí,NA,NA,NA
DOM,Dominican Republic,ucrania,Sí,NA,NA,NA
ECU,Ecuador,ucrania,Sí,NA,NA,NA
EGY,"Egypt, Arab Rep.",ucrania,Sí,NA,NA,NA
SLV,El Salvador,ucrania,Abstención,NA,NA,NA
GNQ,Equatorial Guinea,ucrania,Abstención,NA,NA,NA
ERI,Eritrea,ucrania,No,NA,NA,NA
EST,Estonia,ucrania,Sí,NA,NA,NA
SWZ,Eswatini,ucrania,Abstención,NA,NA,NA
ETH,Ethiopia,ucrania,Abstención,NA,NA,NA
FJI,Fiji,ucrania,Sí,NA,NA,NA
FIN,Finland,ucrania,Sí,NA,NA,NA
FRA,France,ucrania,Sí,NA,NA,NA
GAB,Gabon,ucrania,Sí,NA,NA,NA
GMB,"Gambia, The",ucrania,Sí,NA,NA,NA
GEO,Georgia,ucrania,Sí,NA,NA,NA
DEU,Germany,ucrania,Sí,NA,NA,NA
GHA,Ghana,ucrania,Sí,NA,NA,NA
GRC,Greece,ucrania,Sí,NA,NA,NA
GRD,Grenada,ucrania,Sí,NA,NA,NA
GTM,Guatemala,ucrania,Sí,NA,NA,NA
GIN,Guinea,ucrania,Sí,NA,NA,NA
GNB,Guinea-Bissau,ucrania,Abstención,NA,NA,NA
GUY,Guyana,ucrania,Sí,NA,NA,NA
HTI,Haiti,ucrania,Sí,NA,NA,NA
HND,Honduras,ucrania,Sí,NA,NA,NA
HUN,Hungary,ucrania,Sí,NA,NA,NA
ISL,Iceland,ucrania,Sí,NA,NA,NA
IND,India,ucrania,Abstención,NA,NA,NA
IDN,Indonesia,ucrania,Sí,NA,NA,NA
IRN,"Iran, Islamic Rep.",ucrania,Abstención,NA,NA,NA
IRQ,Iraq,ucrania,Sí,NA,NA,NA
IRL,Ireland,ucrania,Sí,NA,NA,NA
ISR,Israel,ucrania,Sí,NA,NA,NA
ITA,Italy,ucrania,Sí,NA,NA,NA
JAM,Jamaica,ucrania,Sí,NA,NA,NA
JPN,Japan,ucrania,Sí,NA,NA,NA
JOR,Jordan,ucrania,Sí,NA,NA,NA
KAZ,Kazakhstan,ucrania,Abstención,NA,NA,NA
KEN,Kenya,ucrania,Sí,NA,NA,NA
KIR,Kiribati,ucrania,Sí,NA,NA,NA
KWT,Kuwait,ucrania,Sí,NA,NA,NA
KGZ,Kyrgyz Republic,ucrania,Abstención,NA,NA,NA
LAO,Lao PDR,ucrania,Abstención,NA,NA,NA
LVA,Latvia,ucrania,Sí,NA,NA,NA
LBN,Lebanon,ucrania,Sí,NA,NA,NA
LSO,Lesotho,ucrania,Sí,NA,NA,NA
LBR,Liberia,ucrania,Sí,NA,NA,NA
LBY,Libya,ucrania,Sí,NA,NA,NA
LIE,Liechtenstein,ucrania,Sí,NA,NA,NA
LTU,Lithuania,ucrania,Sí,NA,NA,NA
LUX,Luxembourg,ucrania,Sí,NA,NA,NA
MDG,Madagascar,ucrania,Abstención,NA,NA,NA
MWI,Malawi,ucrania,Sí,NA,NA,NA
MYS,Malaysia,ucrania,Sí,NA,NA,NA
MDV,Maldives,ucrania,Sí,NA,NA,NA
MLI,Mali,ucrania,Abstención,NA,NA,NA
MLT,Malta,ucrania,Sí,NA,NA,NA
MHL,Marshall Islands,ucrania,Sí,NA,NA,NA
MRT,Mauritania,ucrania,Sí,NA,NA,NA
MUS,Mauritius,ucrania,Sí,NA,NA,NA
MEX,Mexico,ucrania,Sí,NA,NA,NA
FSM,"Micronesia, Fed. Sts.",ucrania,Sí,NA,NA,NA
MDA,Moldova,ucrania,Sí,NA,NA,NA
MCO,Monaco,ucrania,Sí,NA,NA,NA
MNG,Mongolia,ucrania,Abstención,NA,NA,NA
MNE,Montenegro,ucrania,Sí,NA,NA,NA
MAR,Morocco,ucrania,Sí,NA,NA,NA
MOZ,Mozambique,ucrania,Abstención,NA,NA,NA
MMR,Myanmar,ucrania,Sí,NA,NA,NA
NAM,Namibia,ucrania,Abstención,NA,NA,NA
NRU,Naoero,ucrania,Sí,NA,NA,NA
NPL,Nepal,ucrania,Sí,NA,NA,NA
NLD,Netherlands,ucrania,Sí,NA,NA,NA
NZL,New Zealand,ucrania,Sí,NA,NA,NA
NIC,Nicaragua,ucrania,Abstención,NA,NA,NA
NER,Niger,ucrania,Sí,NA,NA,NA
NGA,Nigeria,ucrania,Sí,NA,NA,NA
MKD,North Macedonia,ucrania,Sí,NA,NA,NA
