ID,Clee,Nombre de la Unidad Económica,Razón social,Código de la clase de actividad SCIAN,Nombre de clase de la actividad,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Tipo de entre vialidad 1,Nombre de entre vialidad 1,Tipo de entre vialidad 2,Nombre de entre vialidad 2,Tipo de entre vialidad 3,Nombre de entre vialidad 3,Número exterior o kilómetro,Letra exterior,Edificio,Edificio Piso,Número interior,Letra interior,Tipo de asentamiento humano,Nombre de asentamiento humano,Tipo centro comercial,"Corredor industrial, centro comercial o mercado público",Número de local,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Área geoestadística básica ,Manzana,Número de teléfono,Correo electrónico,Sitio en Internet,Tipo de establecimiento,Latitud,Longitud,Fecha de incorporación al DENUE
1059370,09015611312000136000000000U1,ACADEMIA DE SAN CARLOS,UNAM,611312,Escuelas de educación superior del sector público,101 a 250 personas,CALLE,EMILIANO ZAPATA,CALLE,ACADEMIA,CALLE,JESUS MARIA,CALLE,SOLEDAD,39,,,,,,COLONIA,CENTRO,,,,06060,09,CIUDAD DE MÉXICO,015,Cuauhtémoc,0001,Cuauhtémoc                                                                                                    ,0771,021,,,ACADEMIASANCARLOS.UNAM.MX,Fijo,19.4331231,-99.12804346,2014-12
1059395,09003611312000251001000000U4,ALBERCA OLAMPICA DE CIUDAD UNIVERSITARIA,UNAM,611312,Escuelas de educación superior del sector público,101 a 250 personas,CIRCUITO,ESCOLAR,CIRCUITO,EXTERIOR,CIRCUITO,ESCOLAR,CIRCUITO,EXTERIOR,,SN,,,,,CIUDAD,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO CIUDAD UNIVERSITARIA,,,,04510,09,CIUDAD DE MÉXICO,003,Coyoacán,0001,Coyoacán                                                                                                      ,0770,001,5556220601,CONTACTO@DEPORTE.UNAM.MX,,Fijo,19.33050909,-99.18477607,2010-07
846442,09002611312000033000000000U8,ANTIGUA ESCUELA DE CIENCIAS QUIMICAS,UNAM,611312,Escuelas de educación superior del sector público,11 a 30 personas,CALLE,MAR DEL NORTE,CALLE,FERROCARRILES NACIONALES DE MEXICO,CALLE,SANTA CRUZ DE ATENCO,CALLE,FERROCARRILES NACIONALES DE MEXICO,5,,,,,,COLONIA,SAN ÁLVARO,,,,02090,09,CIUDAD DE MÉXICO,002,Azcapotzalco,0001,Azcapotzalco                                                                                                  ,0792,003,,,WWW.QUIMICA.UNAM.MX,Fijo,19.46054124,-99.18718393,2014-12
1061178,09003611312000923002000000U8,ARCHIVO GENERAL,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,611312,Escuelas de educación superior del sector público,101 a 250 personas,CALLE,NINGUNO,CIRCUITO,MARIO DE LA CUEVA,CALLE,NINGUNO,CIRCUITO,MARIO DE LA CUEVA,,SN,,,,,CIUDAD,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO CIUDAD UNIVERSITARIA,,,,04510,09,CIUDAD DE MÉXICO,003,Coyoacán,0001,Coyoacán                                                                                                      ,0770,017,,ARCHIVOGENERAL@DGSG.UNAM.MX,WWW.DGSG.UNAN.MX,Fijo,19.31263545,-99.17909713,2010-07
886057,09015931610002332011000000U4,ARCHIVO HISTORICO DE LA ESCUELA SUPERIOR DE INGENIERIA MECANICA Y ELECTRICA,ESCUELA PUBLICA INSTITUTO POLITECNICO NACIONAL,611312,Escuelas de educación superior del sector público,11 a 30 personas,CALLE,BELISARIO DOMINGUEZ,CALLE,ALLENDE,PEATONAL,PLAZA DE LA CONCEPCION,CALLE,REPUBLICA DE PERU,16,A,,,,,COLONIA,CENTRO,,,,06010,09,CIUDAD DE MÉXICO,015,Cuauhtémoc,0001,Cuauhtémoc                                                                                                    ,0644,021,5555260611,,,Fijo,19.43846307,-99.13879092,2014-12
9301984,09014611312000187001000000U7,AREA CENTRAL DEL TECNOLOGICO NACIONAL DE MEXICO,TECNOLOGICO NACIONAL DE MEXICO,611312,Escuelas de educación superior del sector público,11 a 30 personas,AVENIDA,UNIVERSIDAD,CALLE,REAL MAYORAZGO,CALLE,MAYORAZGO HIGUERA,CALLE,PUENTE XOCO,1200,,,,,,COLONIA,XOCO,,,,03330,09,CIUDAD DE MÉXICO,014,Benito Juárez,0001,Benito Juárez                                                                                                 ,0967,004,,D_PERSONAL@TECNM.MX,WWW.TECNM.MX,Fijo,19.36160276,-99.17055324,2020-11
1061157,09003611312000665002000000U5,AUDITORIA INTERNA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,611312,Escuelas de educación superior del sector público,6 a 10 personas,CALLE,CIRCUITO CENTRO CULTURAL,CIRCUITO,ESCOLAR,AVENIDA,AVENIDA DEL ASPIRANTE,CALLE,CIRCUITO CENTRO CULTURAL,,SN,,,,,CIUDAD,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO CIUDAD UNIVERSITARIA,,,,04510,09,CIUDAD DE MÉXICO,003,Coyoacán,0001,Coyoacán                                                                                                      ,0770,020,,JOSE.MONTERO@PATRONATO.UNAM.MX,JWWW.PATRONATO.UNAM.MX,Fijo,19.31145341,-99.18590793,2010-07
686157,09016611122000583020000000U5,BENEMERITA ESCUELA NACIONAL DE MAESTROS,SECRETARIA EDUCACION PUBLICA,611312,Escuelas de educación superior del sector público,251 y más personas,CALZADA,MEXICO TACUBA,AVENIDA,MAESTRO RURAL,AVENIDA,DE LOS MAESTROS,CALLE,SALVADOR DIAZ MIRON,75,,,,,,COLONIA,UN HOGAR PARA NOSOTROS,,,,11330,09,CIUDAD DE MÉXICO,016,Miguel Hidalgo,0001,Miguel Hidalgo                                                                                                ,0088,006,,,,Fijo,19.44470385,-99.16731034,2014-12
7717392,09003519122000174001000000U4,BIBLIOTECA CENTRAL DIRECCION GENERAL DE BIBLIOTECAS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,611312,Escuelas de educación superior del sector público,251 y más personas,CIRCUITO,ESCOLAR,CIRCUITO,ESCOLAR,CIRCUITO,ESCOLAR,CIRCUITO,ESCOLAR,,SN,,,,,COLONIA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO CIUDAD UNIVERSITARIA,,,,04510,09,CIUDAD DE MÉXICO,003,Coyoacán,0001,Coyoacán                                                                                                      ,0770,007,5556221625,BCENTRAL@DGB.UNAM.MX,WWW.DGB.UNAM.MX,Fijo,19.33084064,-99.18121942,2019-11
907469,09003611312000353000000000U8,BICIPUMA,DIRECCION GENERAL DE SERVICIOS GENERALES Y DE MOVILIDAD UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,611312,Escuelas de educación superior del sector público,51 a 100 personas,AVENIDA,ANTONIO DELFIN MADRIGAL,CIRCUITO,MARIO DE LA CUEVA,CALLE,ESCOLAR,CALLE,ESCOLAR,,SN,,,,,COLONIA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO CIUDAD UNIVERSITARIA,,,,04510,09,CIUDAD DE MÉXICO,003,Coyoacán,0001,Coyoacán                                                                                                      ,0770,028,5556225535,BICIPUMA@DGSGM.UNAM.MX,WWW.DGSGM.UNAM.MX,Fijo,19.32367584,-99.1744871,2014-12
