"LLAVEVIV","P1_1","P1_2","P1_3","P1_4","P1_5","P1_6","P1_7_1","P1_7_2","P1_7_3","P1_7_4","P1_7_5","P1_7_6","P1_7_7","P1_7_8","P1_8_1_1","P1_8_1_2","P1_8_2_1","P1_8_2_2","P1_8_3_1","P1_8_3_2","P2_1","P2_2","P2_3","CVEGEO","CVE_ENT","MENOR10","UPM_DIS","EST_DIS","FAC_VIV","FOLIO","VIV_SEL"
"010009401","3","03","1","1","1","1","1","1","1","1","1","2","1","1","2","","2","","2","","05","1","","01","01","2","0001","001",382,"0100094","01"
"010009402","3","03","1","1","1","1","1","1","1","1","1","1","1","1","2","","2","","1","01","04","1","","01","01","2","0001","001",382,"0100094","02"
"010009403","2","02","1","1","1","1","1","1","2","1","2","2","1","2","1","02","2","","2","","04","1","","01","01","2","0001","001",382,"0100094","03"
"010009404","3","01","1","1","1","1","1","1","1","1","1","2","1","2","2","","2","","2","","02","1","","01","01","2","0001","001",382,"0100094","04"
"010011701","3","04","1","1","1","1","1","1","1","1","1","1","1","1","2","","2","","2","","05","1","","01","01","2","0002","002",339,"0100117","01"
"010011702","3","01","1","1","1","1","1","1","1","1","2","2","1","1","1","03","2","","2","","01","","","01","01","2","0002","002",339,"0100117","02"
"010011703","3","02","1","1","1","1","1","1","1","1","2","2","1","1","2","","2","","2","","02","1","","01","01","2","0002","002",339,"0100117","03"
"010011705","3","01","1","1","1","1","1","1","1","1","2","2","1","2","2","","2","","2","","03","1","","01","01","2","0002","002",339,"0100117","05"
"010011801","3","02","1","1","1","1","1","1","1","1","1","1","1","1","2","","2","","2","","04","1","","01","01","2","0003","002",361,"0100118","01"
"010011802","3","03","1","1","1","1","1","1","1","1","1","1","1","1","1","01","2","","2","","03","1","","01","01","2","0003","002",361,"0100118","02"
"010011803","3","02","1","1","1","1","1","1","1","1","1","2","1","2","1","03","2","","2","","03","1","","01","01","2","0003","002",361,"0100118","03"
"010011804","3","03","1","1","1","1","1","1","1","1","1","1","1","1","1","04","2","","2","","05","1","","01","01","2","0003","002",361,"0100118","04"
"010011805","3","03","1","1","1","1","1","1","1","1","1","2","1","1","2","","1","01","2","","05","1","","01","01","2","0003","002",361,"0100118","05"
"010014901","2","02","1","1","1","1","1","1","1","1","2","2","1","2","2","","2","","2","","05","1","","01","01","2","0004","003",380,"0100149","01"
"010014902","2","02","1","1","1","1","1","1","2","1","2","2","1","2","1","03","2","","2","","03","1","","01","01","2","0004","003",380,"0100149","02"
"010014903","3","02","1","1","1","1","1","1","2","1","1","2","1","2","2","","2","","2","","04","1","","01","01","2","0004","003",380,"0100149","03"
"010014904","3","03","1","1","1","1","1","1","1","1","1","2","1","1","1","01","2","","2","","04","1","","01","01","2","0004","003",380,"0100149","04"
"010014905","3","02","1","1","1","1","1","1","1","1","2","1","1","1","1","02","2","","2","","04","1","","01","01","2","0004","003",380,"0100149","05"
"010015201","2","02","1","1","1","1","1","1","2","1","2","2","1","1","2","","2","","1","02","06","1","","01","01","2","0005","003",306,"0100152","01"
"010015202","3","01","1","1","1","1","1","1","1","1","2","2","1","2","2","","2","","2","","02","1","","01","01","2","0005","003",306,"0100152","02"
"010015203","3","02","1","1","1","1","1","1","2","1","2","2","2","","1","02","1","01","2","","02","1","","01","01","2","0005","003",306,"0100152","03"
"010015204","3","02","1","1","1","1","1","1","2","2","1","1","1","1","2","","1","02","2","","08","1","","01","01","2","0005","003",306,"0100152","04"
"010015205","2","01","1","1","1","1","1","2","2","2","2","2","1","2","1","02","1","03","2","","02","1","","01","01","2","0005","003",306,"0100152","05"
"010017901","3","02","1","1","1","1","1","1","1","1","1","2","1","1","1","01","2","","2","","03","1","","01","01","2","0006","001",353,"0100179","01"
"010017903","3","02","1","1","1","1","1","1","1","1","1","1","1","1","2","","2","","2","","02","1","","01","01","2","0006","001",353,"0100179","03"
"010017904","3","02","1","1","1","1","1","1","2","2","2","2","2","","2","","1","01","2","","03","1","","01","01","2","0006","001",353,"0100179","04"
"010017905","3","02","1","1","1","1","1","1","1","1","1","1","1","1","1","02","2","","1","01","05","1","","01","01","2","0006","001",353,"0100179","05"
