folioviv,foliohog,id_pobla,geo_p,anio_nac_p,nivel_p,grado_p,sinco_p,lengua_p,padre_muer,geo_m,anio_nac_m,nivel_m,grado_m,sinco_m,lengua_m,madre_muer,hijos_m,hijos_nac,sosten,calle_pav,agua_entub,techo_loza,banio_int,licuadora,microondas,tostador,estufa,refrigera,lavadora,radio,tocadiscos,television,video_dvd,compu,tv_paga,videojuego,tel_fijo,tel_movil,internet,camara,enciclope,automovil,otra_viv,local_com,tierras,tractor,anim_trab,ganado,terrenos,cuenta_ban,tc_banc,tc_depar,serv_domes,cvegeo,cve_ent,cve_mun,est_dis,upm,factor_per
010009401,1,01,70030193,1968,12,3,4999,2,,70030193,1971,12,3,4111,2,,3,1,02,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,01001,01,001,0002,00001,861
010009402,1,02,70001001,9999,06,6,8331,2,2014,70001001,9999,06,6,1003,2,2018,9,7,02,1,1,1,1,1,2,2,2,1,1,1,2,1,2,2,2,2,2,,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,01001,01,001,0002,00001,1292
010009403,1,02,70001001,9999,06,6,9999,2,2018,70001001,9999,00,0,1003,2,,8,4,02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,01001,01,001,0002,00001,861
010009404,1,01,70032035,1925,99,9,6119,2,2012,70032035,1935,99,9,6119,2,2020,11,2,02,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,,,2,2,2,2,2,1,2,1,1,2,2,2,2,2,01001,01,001,0002,00001,1292
010009405,1,01,70030013,9999,06,6,6129,2,1989,70030075,9999,06,6,1003,2,2008,7,6,02,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,,,2,2,1,2,2,1,2,1,1,2,2,2,2,2,01001,01,001,0002,00001,431
010011401,1,01,70001001,1939,09,3,9999,2,2008,70032036,1940,06,3,1003,2,,7,2,02,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,01001,01,001,0003,00001,1865
010011402,1,01,70009007,1942,06,6,5114,2,2005,70009007,1947,00,0,1003,2,,8,5,02,1,1,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,01001,01,001,0003,00001,933
010011403,1,01,70001001,1965,09,3,2172,2,,70001001,1968,09,3,2173,1,,1,0,03,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,01001,01,001,0003,00001,933
010011404,1,01,70001001,1957,09,3,5312,2,,70001001,1962,09,3,1003,2,,3,1,02,1,1,1,1,1,1,2,1,1,1,2,2,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,01001,01,001,0003,00001,933
010011405,1,02,70001006,1961,11,3,2332,2,,70001008,1961,09,3,1003,2,,3,0,02,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,1,1,2,01001,01,001,0003,00001,933
010011701,1,03,70001001,1958,13,3,2811,2,,70001001,1960,14,5,2436,2,,1,0,03,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,01001,01,001,0003,00002,385
010011702,1,02,70001001,1949,10,3,2332,2,,70001001,1952,06,6,1003,2,,3,0,02,1,1,1,1,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,01001,01,001,0003,00002,1540
010011703,1,02,70001001,1972,09,3,7121,2,,70001001,1977,09,3,4111,2,,2,0,02,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,01001,01,001,0003,00002,1155
010011704,1,02,70032057,1952,06,6,6129,2,,70032057,1957,00,0,1003,2,,4,1,02,1,1,1,1,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,01001,01,001,0003,00002,770
010011705,1,03,70001001,1977,12,3,4111,2,,70001001,1980,12,3,1003,2,,2,0,02,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,01001,01,001,0003,00002,1155
010014303,1,02,70001001,9999,12,3,4111,2,2005,70001001,9999,09,3,1003,2,2005,6,0,02,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,2,2,2,,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,01001,01,001,0002,00002,1119
010014304,1,02,70001001,1954,06,3,7212,2,2018,70001001,1957,12,3,9621,2,,2,0,02,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,01001,01,001,0002,00002,1119
010014305,1,02,70014035,9999,00,0,6119,2,2010,70014035,9999,00,0,1003,2,1996,12,6,02,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,1,2,1,1,2,2,2,2,2,01001,01,001,0002,00002,1119
010014602,1,02,70001001,1961,06,6,4111,2,,70001001,1969,09,3,4111,2,,3,0,02,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,01001,01,001,0002,00003,748
010014603,1,01,70001001,9999,06,6,8342,2,,70001001,1952,06,6,1003,2,,4,3,02,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,1,,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,01001,01,001,0002,00003,748
010014604,1,03,70001001,9999,99,9,9621,2,,70001001,9999,09,3,1003,2,,2,1,02,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,01001,01,001,0002,00003,1122
010019101,1,02,70024025,1950,00,0,8341,2,,70014039,1947,06,6,8153,2,2020,7,3,02,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,2,2,2,,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,01001,01,001,0001,00001,1344
010019102,1,01,70001001,9999,00,0,7121,2,,70002004,9999,06,6,1003,2,,3,1,02,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,01001,01,001,0001,00001,896
010019103,1,01,70001001,1968,09,3,5312,2,,70010005,1969,09,3,4201,2,,1,0,02,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,01001,01,001,0001,00001,448
010019104,1,01,70014064,1949,00,0,5213,2,2023,70014064,1949,06,6,9611,2,,7,0,02,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,01001,01,001,0001,00001,896
010019105,1,01,70001001,1962,09,3,7399,2,,70014039,1960,09,3,1003,2,2022,4,1,02,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,01001,01,001,0001,00001,448
