folioviv,foliohog,id_domest,sexo_dom,ocupacion,vivie_aqui,h_trab,cvegeo,cve_ent,cve_mun,est_dis,upm,factor_hog
010046201,1,1,2,8,2,3,01001,01,001,0003,00005,398
010048003,1,1,2,8,2,5,01001,01,001,0003,00007,555
010050905,1,1,2,8,2,5,01001,01,001,0003,00008,578
010057104,1,1,2,8,2,5,01001,01,001,0002,00011,431
010096801,1,1,2,8,2,5,01001,01,001,0003,00017,454
010096803,1,1,2,8,2,5,01001,01,001,0003,00017,454
010096804,1,1,2,8,2,5,01001,01,001,0003,00017,454
010097604,1,1,2,8,2,4,01001,01,001,0003,00018,461
010100801,1,1,2,8,2,4,01001,01,001,0003,00019,411
010102001,1,1,2,8,2,4,01001,01,001,0003,00020,548
010102004,1,1,2,8,2,3,01001,01,001,0003,00020,548
010111501,1,1,2,8,2,5,01001,01,001,0003,00022,611
010133602,1,1,2,8,2,5,01001,01,001,0002,00033,553
010133602,1,2,1,6,2,1,01001,01,001,0002,00033,553
010133603,1,1,2,8,2,10,01001,01,001,0002,00033,553
010158904,1,1,2,8,2,5,01001,01,001,0003,00026,618
010166204,1,1,2,8,2,10,01001,01,001,0003,00027,510
010171504,1,1,2,8,2,4,01001,01,001,0002,00038,415
010175204,1,1,2,8,2,40,01001,01,001,0002,00040,1070
010175601,1,1,2,8,2,4,01001,01,001,0003,00030,409
010177204,1,1,1,6,2,0,01001,01,001,0003,00031,441
010177204,1,2,2,8,2,3,01001,01,001,0003,00031,441
010206804,1,1,2,8,2,9,01001,01,001,0001,00040,822
010210601,1,1,2,8,2,3,01001,01,001,0003,00035,354
010210603,1,1,2,8,2,4,01001,01,001,0003,00035,354
010210805,1,1,2,8,2,6,01001,01,001,0003,00036,576
010222504,1,1,2,1,1,90,01001,01,001,0003,00039,939
010243311,1,1,2,8,2,6,01003,01,003,0008,00001,392
010276101,1,1,2,8,2,5,01005,01,005,0005,00002,583
010276102,1,1,2,8,2,2,01005,01,005,0005,00002,583
010284606,1,1,2,8,2,2,01006,01,006,0008,00002,424
020060204,1,1,2,8,2,0,02001,02,001,0020,00005,1573
020115103,1,1,2,7,2,25,02001,02,001,0020,00009,1220
020256404,1,1,2,8,2,28,02002,02,002,0017,00008,1331
020306304,1,1,2,8,2,2,02002,02,002,0018,00010,2146
020446202,1,1,2,8,2,16,02004,02,004,0015,00003,1650
020475317,1,1,2,8,2,1,02004,02,004,0025,00001,2264
020505203,1,1,1,6,2,1,02004,02,004,0014,00009,1120
