folioviv,foliohog,id_pobla,sexo_pe,edad_act,mes_nac,anio_nac,otra_resid,nivela_pe,gradoa_pe,asiste_pe,tra_pago,tra_negfam,tra_neg,tra_aprend,tra_volun,tra_relig,trab_remun,sosten_eco,tra_dome,lengua_ind,pueblo_ind,color_piel,razon_estu,satis_vida,satis_nina,satis_adol,satis_jov,satis_adul,c_alimenta,c_actfis,c_tics,c_redsoc,c_consbien,c_economia,c_consalco,c_lectura,anio_dejar,edad_dejar,matrimonio,hij_vivos,anticoncep,anio_rsex,edad_rsex,cvegeo,cve_ent,cve_mun,est_dis,upm,factor_per
010009401,1,01,1,35,05,1990,1,11,4,1,1,2,1,2,1,2,1,1,2,2,2,E,13,10,10,10,10,10,,2,,,,2,,,2011,21,1,3,2,2005,15,01001,01,001,0002,00001,861
010009402,1,02,2,59,08,1966,2,09,3,1,1,2,2,2,2,2,1,2,1,2,2,G,07,10,10,10,10,10,,1,,,,2,,,1986,20,1,2,2,1986,20,01001,01,001,0002,00001,1292
010009403,1,02,2,37,09,1988,2,11,3,1,1,2,2,2,2,2,1,2,1,2,2,H,07,09,09,09,09,09,1,,,,,2,,,2010,22,1,1,2,2010,22,01001,01,001,0002,00001,861
010009404,1,01,1,64,09,1961,1,03,6,1,1,2,2,2,2,2,1,1,1,2,2,J,07,10,07,09,10,10,,,,,,,,,1981,20,1,3,1,1976,15,01001,01,001,0002,00001,1292
010009405,1,01,2,62,06,1963,1,09,1,1,1,2,2,2,2,2,1,1,1,2,2,H,07,09,09,09,09,09,,,,,,,,,1981,18,1,4,2,1982,19,01001,01,001,0002,00001,431
010011401,1,01,2,58,07,1967,1,11,4,1,1,2,2,2,2,2,1,1,1,2,2,I,13,10,10,09,09,10,2,2,1,,1,2,,1,1985,18,1,3,2,1989,22,01001,01,001,0003,00001,1865
010011402,1,01,1,45,02,1980,1,09,3,1,1,2,2,2,2,2,1,1,1,2,2,F,08,10,10,10,10,10,1,1,1,1,1,1,,,,99,1,3,1,1994,14,01001,01,001,0003,00001,933
010011403,1,01,1,31,06,1994,2,09,1,1,1,2,2,2,2,2,1,1,2,2,2,J,04,10,10,09,09,09,2,,1,1,,2,,,2025,31,1,0,2,,99,01001,01,001,0003,00001,933
010011404,1,01,2,36,08,1989,2,11,5,1,1,2,2,1,2,2,1,2,1,2,2,I,13,10,10,10,10,10,2,2,1,1,,2,,,2013,24,1,2,1,2007,18,01001,01,001,0003,00001,933
010011405,1,02,1,42,11,1983,2,12,2,1,1,2,2,1,2,2,1,1,2,2,2,I,13,09,10,10,08,08,,,1,,,1,,1,2009,26,1,3,2,2004,21,01001,01,001,0003,00001,933
010011701,1,03,2,21,02,2004,2,11,4,1,2,2,2,2,2,2,2,2,1,2,2,J,00,10,10,10,10,,1,1,1,1,,,,,,99,0,0,1,2021,17,01001,01,001,0003,00002,385
010011702,1,02,2,45,01,1980,2,13,4,1,1,2,2,2,2,2,1,2,1,2,2,I,13,10,10,10,10,10,1,2,1,,2,2,,1,2002,22,1,2,1,2001,21,01001,01,001,0003,00002,1540
010011703,1,02,1,22,04,2003,2,11,3,1,1,2,2,1,2,2,1,1,1,2,2,G,13,10,10,10,10,,,,1,,,2,,,,99,1,0,1,2018,15,01001,01,001,0003,00002,1155
010011704,1,02,2,45,11,1980,1,11,5,1,2,2,2,2,2,2,2,2,1,2,2,K,13,10,10,10,10,10,1,1,1,,1,2,,1,2002,22,1,3,1,1998,18,01001,01,001,0003,00002,770
010011705,1,03,2,22,05,2003,2,11,4,1,2,2,2,1,2,2,2,2,1,2,2,J,13,10,10,10,10,,1,1,1,1,,,,1,,99,0,0,2,2023,20,01001,01,001,0003,00002,1155
010014303,1,02,2,50,03,1975,2,11,5,1,2,2,2,2,2,2,2,2,1,2,2,I,13,10,10,08,10,10,,,,,,,,,2005,30,1,2,2,2005,30,01001,01,001,0002,00002,1119
010014304,1,02,1,41,10,1984,2,11,1,1,1,1,2,2,2,2,1,1,2,2,2,G,07,09,10,10,10,10,,,,,,2,,,,99,1,4,2,1999,15,01001,01,001,0002,00002,1119
