folioviv,foliohog,id_pobla,parentesco,sexo,edad,afrod,hablaesp,hablaind,lenguaind,hablaing,hablaotro,etnia,asiste_esc,no_asisb,nivelaprob,gradoaprob,alfabetism,edo_conyug,inf_selec,cvegeo,cve_ent,cve_mun,est_dis,upm,factor_hog
010009401,1,01,1,1,35,2,1,2,,2,2,2,2,,08,4,,6,1,01001,01,001,0002,00001,431
010009401,1,02,2,2,32,2,1,2,,1,2,2,2,,08,4,,6,2,01001,01,001,0002,00001,431
010009401,1,03,3,1,6,2,1,2,,2,2,2,1,,01,3,1,,2,01001,01,001,0002,00001,431
010009401,1,04,3,1,4,2,1,2,,2,2,2,1,,00,,,,2,01001,01,001,0002,00001,431
010009401,1,05,3,1,1,2,,,,,,,,,,,,,2,01001,01,001,0002,00001,431
010009402,1,01,1,1,65,2,1,2,,2,2,2,2,,06,1,,8,2,01001,01,001,0002,00001,431
010009402,1,02,2,2,59,2,1,2,,2,2,2,2,,06,3,,8,1,01001,01,001,0002,00001,431
010009402,1,03,3,1,35,2,1,2,,2,2,2,2,,08,4,,9,2,01001,01,001,0002,00001,431
010009402,1,04,3,1,30,2,1,2,,1,2,2,2,09,08,4,,9,2,01001,01,001,0002,00001,431
010009403,1,01,1,1,47,2,1,2,,1,2,2,2,,06,3,,1,2,01001,01,001,0002,00001,431
010009403,1,02,2,2,37,2,1,2,,2,2,2,2,,08,3,,1,1,01001,01,001,0002,00001,431
010009403,1,03,3,1,0,2,,,,,,,,,,,,,2,01001,01,001,0002,00001,431
010009404,1,01,1,1,64,2,1,2,,2,2,2,2,,02,6,1,8,1,01001,01,001,0002,00001,431
010009404,1,02,2,2,59,2,1,2,,2,2,2,2,,03,3,,8,2,01001,01,001,0002,00001,431
010009404,1,03,3,1,27,2,1,2,,1,2,2,2,09,08,4,,9,2,01001,01,001,0002,00001,431
010009405,1,01,1,2,62,2,1,2,,2,2,2,2,,06,2,,5,1,01001,01,001,0002,00001,431
010011401,1,01,1,2,58,2,1,2,,2,2,2,2,,08,4,,3,1,01001,01,001,0003,00001,466
010011401,1,02,2,1,31,2,1,2,,2,2,2,2,,06,2,,9,2,01001,01,001,0003,00001,466
010011401,1,03,3,2,27,2,1,2,,1,2,2,2,07,08,3,,2,2,01001,01,001,0003,00001,466
010011401,1,04,3,1,21,2,1,2,,1,2,2,1,,08,1,,9,2,01001,01,001,0003,00001,466
010011401,1,05,4,2,4,2,1,2,,2,2,2,1,,00,,,,2,01001,01,001,0003,00001,466
010011402,1,01,1,1,45,2,1,2,,2,2,2,2,,06,3,,8,1,01001,01,001,0003,00001,466
010011402,1,02,2,2,43,2,1,2,,2,2,2,2,,08,5,,8,2,01001,01,001,0003,00001,466
010011402,1,03,6,2,78,2,1,2,,2,2,2,2,,03,3,,5,2,01001,01,001,0003,00001,466
010011402,1,04,3,1,13,2,1,2,,1,2,2,1,,02,6,1,9,2,01001,01,001,0003,00001,466
010011403,1,01,1,1,31,2,1,2,,1,2,2,2,,06,1,,1,1,01001,01,001,0003,00001,466
010011403,1,02,2,2,44,2,1,2,,2,2,2,2,,03,3,,1,2,01001,01,001,0003,00001,466
010011404,1,01,1,2,36,2,1,2,,2,2,2,2,,08,5,,8,1,01001,01,001,0003,00001,466
010011404,1,02,2,1,40,2,1,2,,1,2,2,2,,08,5,,8,2,01001,01,001,0003,00001,466
010011404,1,03,3,2,9,2,1,2,,2,2,2,1,,02,3,1,,2,01001,01,001,0003,00001,466
010011404,1,04,3,1,5,2,1,2,,2,2,2,1,,01,2,2,,2,01001,01,001,0003,00001,466
010011405,1,01,1,2,40,2,1,2,,2,2,2,2,,10,2,,1,2,01001,01,001,0003,00001,466
010011405,1,02,2,1,42,2,1,2,,2,2,2,2,,10,2,,1,1,01001,01,001,0003,00001,466
010011405,1,03,3,2,13,2,1,2,,1,2,2,1,,03,2,,9,2,01001,01,001,0003,00001,466
010011405,1,04,3,2,4,2,1,2,,2,2,2,1,,01,2,,,2,01001,01,001,0003,00001,466
010011405,1,05,3,1,0,2,,,,,,,,,,,,,2,01001,01,001,0003,00001,466
010011701,1,01,1,1,67,2,1,2,,2,2,2,2,,07,3,,8,2,01001,01,001,0003,00002,385
010011701,1,02,2,2,65,2,1,2,,2,2,2,2,,08,5,,8,2,01001,01,001,0003,00002,385
010011701,1,03,3,2,21,2,1,2,,1,1,2,1,,08,3,,9,1,01001,01,001,0003,00002,385
010011702,1,01,1,1,46,2,1,2,,2,2,2,2,,11,4,,8,2,01001,01,001,0003,00002,385
010011702,1,02,2,2,45,2,1,2,,1,2,2,2,,11,4,,8,1,01001,01,001,0003,00002,385
010011702,1,03,3,1,21,2,1,2,,1,2,2,1,,08,4,,9,2,01001,01,001,0003,00002,385
010011702,1,04,3,1,18,2,1,2,,1,2,2,1,,06,3,,9,2,01001,01,001,0003,00002,385
010011703,1,01,1,2,48,2,1,2,,2,2,2,2,,03,3,,4,2,01001,01,001,0003,00002,385
010011703,1,02,3,1,22,2,1,2,,2,2,2,2,09,08,3,,1,1,01001,01,001,0003,00002,385
010011703,1,03,3,2,13,2,1,2,,2,2,2,1,,02,6,1,9,2,01001,01,001,0003,00002,385
010011703,1,04,5,2,19,2,1,2,,2,2,2,1,,08,2,,1,2,01001,01,001,0003,00002,385
010011704,1,01,1,1,45,2,1,2,,1,2,2,2,,08,5,,8,2,01001,01,001,0003,00002,385
010011704,1,02,2,2,45,2,1,2,,2,2,2,2,,08,5,,8,1,01001,01,001,0003,00002,385
010011704,1,03,3,1,14,2,1,2,,2,2,2,1,,03,2,,9,2,01001,01,001,0003,00002,385
010011704,1,04,3,1,10,2,1,2,,2,2,2,1,,02,4,1,,2,01001,01,001,0003,00002,385
010011704,1,05,3,2,9,2,1,2,,2,2,2,1,,02,3,1,,2,01001,01,001,0003,00002,385
010011705,1,01,1,1,48,2,1,2,,2,2,2,2,,06,3,,6,2,01001,01,001,0003,00002,385
010011705,1,02,2,2,45,2,1,2,,2,2,2,2,,03,3,,6,2,01001,01,001,0003,00002,385
010011705,1,03,3,2,22,2,1,2,,2,2,2,2,09,08,3,,9,1,01001,01,001,0003,00002,385
