folioviv,tipo_viv,mat_pared,mat_techos,mat_pisos,cuart_dorm,agua_ent,ab_agua,agua_noe,dotac_agua,excusado,drenaje,disp_elect,focos,focos_ahor,tenencia,num_micro,anio_micro,num_refri,anio_refri,num_lropa,anio_lropa,num_ltras,anio_ltras,num_airea,anio_airea,num_calef,anio_calef,num_venti,anio_venti,num_tv,anio_tv,num_pc,anio_pc,num_lap,anio_lap,num_table,anio_table,num_imp,anio_imp,num_cel,anio_cel,num_tfijo,anio_tfijo,num_inter,anio_inter,num_tvpag,anio_tvpag,num_pdigi,anio_pdigi,num_dvd,anio_dvd,num_juego,anio_juego,num_auto,anio_auto,num_van,anio_van,residentes,tot_hog,cvegeo,cve_ent,cve_mun,tam_loc,est_socio,est_dis,upm,factor_viv
010009401,1,8,10,3,2,1,1,,3,1,1,1,11,11,4,0,,1,19,1,19,0,,0,,0,,0,,1,19,0,,0,,0,,0,,1,19,0,,1,22,0,,0,,0,,0,,0,,0,,5,1,01001,01,001,1,3,0002,00001,422
010009402,1,8,10,3,2,1,1,,2,1,1,1,8,8,2,0,,1,15,1,19,0,,0,,0,,1,15,1,19,0,,0,,0,,0,,2,18,1,18,1,18,0,,0,,0,,0,,0,,1,12,4,1,01001,01,001,1,3,0002,00001,422
010009403,1,8,10,3,2,1,1,,3,1,1,1,8,8,4,0,,1,16,1,16,0,,0,,0,,0,,2,16,0,,0,,0,,0,,1,19,0,,1,16,0,,0,,0,,0,,1,20,0,,3,1,01001,01,001,1,3,0002,00001,422
010009404,1,8,10,3,4,1,1,,3,1,1,1,10,10,4,1,18,2,24,1,14,0,,0,,0,,2,23,2,19,0,,1,21,0,,0,,3,19,1,23,1,23,1,23,0,,0,,0,,0,,1,15,3,1,01001,01,001,1,3,0002,00001,422
010009405,1,8,10,3,2,1,1,,3,1,1,1,8,8,3,1,19,1,18,1,19,0,,0,,0,,0,,1,18,0,,0,,0,,0,,1,19,1,18,1,16,1,16,1,16,0,,0,,0,,0,,1,1,01001,01,001,1,3,0002,00001,422
010011401,1,8,10,2,3,1,1,,3,1,1,1,6,6,3,1,22,1,21,0,,0,,0,,0,,0,,1,24,0,,0,,0,,0,,3,22,1,20,1,20,0,,0,,0,,0,,0,,0,,5,1,01001,01,001,1,4,0003,00001,453
010011402,1,8,10,3,3,1,1,,4,1,1,1,8,2,3,0,,1,15,1,18,1,17,1,17,0,,0,,1,19,1,14,0,,0,,1,21,6,24,0,,1,20,0,,1,21,0,,0,,1,15,0,,4,1,01001,01,001,1,4,0003,00001,453
010011403,1,8,10,3,1,1,1,,1,1,1,1,8,8,1,1,21,1,21,1,19,0,,0,,0,,0,,1,21,0,,0,,0,,0,,2,21,0,,0,,0,,0,,0,,0,,0,,0,,2,1,01001,01,001,1,4,0003,00001,453
010011404,1,8,10,3,2,1,1,,3,1,1,1,7,7,4,1,15,1,15,1,12,0,,0,,0,,2,22,3,24,0,,0,,1,23,0,,2,24,0,,1,15,0,,2,22,1,15,0,,0,,1,25,4,1,01001,01,001,1,4,0003,00001,453
010011405,1,8,10,3,2,1,1,,2,1,1,1,9,9,3,1,21,1,23,1,17,0,,0,,0,,2,22,2,20,0,,1,19,0,,0,,3,24,0,,1,19,1,19,2,22,0,,0,,1,12,1,17,5,1,01001,01,001,1,4,0003,00001,453
010011701,1,8,10,3,2,1,1,,3,1,1,1,7,7,4,1,15,1,19,1,22,0,,0,,0,,3,18,1,22,0,,0,,1,21,0,,3,23,0,,1,19,1,19,-1,23,0,,0,,0,,1,20,3,1,01001,01,001,1,4,0003,00002,374
010011702,1,8,10,3,2,1,1,,4,1,1,1,11,11,3,0,,1,15,1,16,0,,0,,0,,0,,1,20,1,14,1,19,0,,1,23,4,24,0,,1,15,0,,1,21,0,,1,20,1,21,0,,4,1,01001,01,001,1,4,0003,00002,374
010011703,1,8,10,3,3,1,1,,1,1,1,1,13,10,3,1,15,1,16,1,19,0,,0,,0,,4,24,3,21,0,,1,20,0,,1,23,4,24,0,,1,19,1,19,-1,24,0,,0,,0,,1,23,4,1,01001,01,001,1,4,0003,00002,374
